id_carregamento,data_registro,tipo_carga,origem,destino,prioridade_solicitada,distancia_km,estoque_destino_dias,caminhoes_disponiveis,combustivel_disponivel_litros,peso_toneladas,carga_perecivel,prazo_horas,hora_registro,tempo_entrega_horas,mes_registro,telex_origem
CS-0171,1972-10-30 15:15,Insumos industriais,Depósito Norte,Valparaíso,Baixa,58.3,0.6,6,520,10.7,0,24.1,15,43.5,1972-10,T-12
CS-0172,1972-10-31 09:45,Combustível,Depósito Norte,Talca,Alta,353.3,3.6,6,523,9.9,0,17.4,9,22.7,1972-10,T-04
CS-0173,1972-10-16 14:45,Medicamentos,Terminal Costeiro,Valparaíso,Alta,249.8,4.5,10,665,2.9,0,15.1,14,25.2,1972-10,T-12
CS-0174,1972-10-10 13:45,Medicamentos,Depósito Norte,Concepción,Média,201.9,5.3,7,876,15.9,0,18.8,13,28.5,1972-10,T-12
CS-0175,1972-10-25 14:30,Alimentos básicos,Depósito Norte,Talca,Alta,175.8,1.0,6,1819,5.4,0,13.2,14,27.9,1972-10,T-12
CS-0176,1972-10-11 16:30,Alimentos básicos,Armazém Ferroviário,Antofagasta,Média,438.0,4.8,6,876,1.6,1,26.6,16,28.0,1972-10,T-12
CS-0177,1972-10-19 15:15,Medicamentos,Armazém Ferroviário,Concepción,Alta,384.4,0.5,1,3598,3.8,0,16.6,15,66.7,1972-10,T-12
CS-0178,1972-10-29 14:15,Insumos industriais,Terminal Costeiro,Antofagasta,Média,475.6,5.5,1,726,11.4,0,27.4,14,47.7,1972-10,T-04
CS-0179,1972-10-17 06:15,Combustível,Armazém Ferroviário,Concepción,Alta,465.6,1.5,6,1103,1.5,0,16.7,6,44.1,1972-10,T-08
CS-0180,1972-10-21 17:15,Combustível,Armazém Ferroviário,Talca,Alta,62.5,3.2,11,850,10.4,0,11.0,17,24.8,1972-10,T-08
CS-0181,1972-10-21 13:45,Medicamentos,Armazém Ferroviário,Antofagasta,Média,290.2,5.0,10,921,14.4,0,21.2,13,38.2,1972-10,T-08
CS-0182,1972-10-10 16:30,Insumos industriais,Depósito Norte,Santiago Centro,Baixa,619.2,4.3,4,480,10.3,0,41.9,16,62.6,1972-10,T-12
CS-0183,1972-10-17 10:15,Combustível,Depósito Central,Concepción,Baixa,346.4,5.8,11,826,3.0,0,28.8,10,41.6,1972-10,T-04
CS-0184,1972-10-09 16:00,Alimentos básicos,Depósito Norte,Santiago Centro,Média,371.9,6.1,5,1108,15.6,1,22.7,16,47.8,1972-10,T-08
CS-0185,1972-10-16 14:15,Alimentos básicos,Depósito Norte,Santiago Centro,Baixa,669.9,4.6,10,3337,15.2,1,37.9,14,52.0,1972-10,T-15
CS-0186,1972-10-30 11:15,Combustível,Depósito Norte,Santiago Centro,Média,121.3,5.5,6,3410,11.8,0,19.6,11,32.2,1972-10,T-15
CS-0187,1972-10-15 14:15,Medicamentos,Armazém Ferroviário,Antofagasta,Baixa,479.5,4.4,3,1030,2.3,0,33.3,14,56.0,1972-10,T-04
CS-0188,1972-10-25 16:15,Medicamentos,Depósito Norte,Antofagasta,Média,532.2,2.3,1,1207,11.6,0,31.7,16,95.8,1972-10,T-12
CS-0189,1972-10-30 10:15,Combustível,Depósito Norte,Antofagasta,Baixa,286.4,2.4,9,314,14.8,0,29.1,10,56.0,1972-10,T-08
CS-0190,1972-10-27 14:15,Combustível,Terminal Costeiro,Santiago Centro,Média,615.5,6.8,7,3179,7.9,0,29.8,14,48.5,1972-10,T-08
CS-0191,1972-10-19 16:15,Alimentos básicos,Depósito Norte,Valparaíso,Média,189.3,5.1,10,3733,20.9,1,21.0,16,26.6,1972-10,T-04
CS-0192,1972-10-16 17:00,Medicamentos,Terminal Costeiro,Concepción,Média,433.9,5.2,11,552,15.2,0,29.3,17,53.6,1972-10,T-08
CS-0193,1972-10-11 15:00,Medicamentos,Terminal Costeiro,Antofagasta,Alta,558.3,5.6,9,2256,2.3,0,23.6,15,44.2,1972-10,T-15
CS-0194,1972-10-19 08:15,Insumos industriais,Depósito Norte,Concepción,Alta,275.4,1.7,6,1306,12.1,0,14.6,8,36.4,1972-10,T-08
CS-0195,1972-10-20 13:45,Medicamentos,Depósito Central,Santiago Centro,Média,186.5,6.1,7,2601,9.3,0,20.5,13,21.2,1972-10,T-15
CS-0196,1972-10-27 06:15,Alimentos básicos,Depósito Central,Antofagasta,Alta,369.8,5.1,9,2983,7.5,0,20.3,6,20.8,1972-10,T-15
CS-0197,1972-10-24 07:45,Alimentos básicos,Terminal Costeiro,Talca,Alta,622.6,5.4,11,945,6.1,1,26.2,7,55.4,1972-10,T-04
CS-0198,1972-10-22 13:30,Medicamentos,Terminal Costeiro,Concepción,Baixa,581.6,5.0,6,2150,21.0,0,41.6,13,69.3,1972-10,T-08
CS-0199,1972-10-13 14:15,Insumos industriais,Depósito Norte,Santiago Centro,Baixa,173.3,1.3,5,3269,14.2,0,25.4,14,41.9,1972-10,T-04
CS-0200,1972-10-19 17:30,Insumos industriais,Armazém Ferroviário,Santiago Centro,Média,318.7,3.5,7,3681,4.5,0,23.5,17,32.1,1972-10,T-04
