id_solicitacao,data_abertura,data_conclusao,servico,canal_entrada,regional,prioridade_informada,turno_abertura,hora_abertura,demanda_prevista,equipe_disponivel,distancia_km,anexos_enviados,tempo_estimado_horas,custo_estimado_reais,tempo_resolucao_horas,mes_abertura,dia_semana
SU-0160,2026-02-24 17:45,2026-02-25 22:51,Iluminação pública,Aplicativo,Sul,Média,noite,17,66,5,4.1,2,16,358.35,29.1,2026-02,terça
SU-0161,2026-03-20 16:45,2026-03-23 05:15,Reparo de calçada,Aplicativo,Sul,Alta,tarde,16,43,8,13.7,3,36,691.89,60.5,2026-03,sexta
SU-0162,2026-04-22 11:15,2026-04-25 05:57,Poda preventiva,Atendimento presencial,Leste,Baixa,manhã,11,86,8,6.8,1,33,529.95,66.7,2026-04,quarta
SU-0163,2026-03-15 11:45,2026-03-16 17:27,Iluminação pública,Telefone 156,Oeste,Alta,manhã,11,30,5,7.4,1,13,400.44,29.7,2026-03,domingo
SU-0164,2026-03-10 07:45,2026-03-13 02:09,Iluminação pública,Telefone 156,Norte,Baixa,manhã,7,69,10,11.7,1,24,646.93,66.4,2026-03,terça
SU-0165,2026-04-15 08:15,2026-04-17 19:51,Poda preventiva,Atendimento presencial,Leste,Média,manhã,8,32,6,5.3,2,25,480.89,59.6,2026-04,quarta
SU-0166,2026-04-19 08:30,2026-04-21 09:00,Coleta programada,Telefone 156,Norte,Baixa,manhã,8,41,6,1.4,2,23,402.19,48.5,2026-04,domingo
SU-0167,2026-02-17 17:45,2026-02-19 14:51,Iluminação pública,Telefone 156,Oeste,Média,noite,17,67,5,3.2,1,19,379.41,45.1,2026-02,terça
SU-0168,2026-05-20 15:00,2026-05-21 14:18,Iluminação pública,Aplicativo,Leste,Média,tarde,15,27,8,12.6,3,16,452.77,23.3,2026-05,quarta
SU-0169,2026-03-02 18:45,2026-03-05 17:15,Iluminação pública,Aplicativo,Leste,Baixa,noite,18,45,3,0.6,3,24,476.72,70.5,2026-03,segunda
SU-0170,2026-04-05 15:00,2026-04-08 13:12,Poda preventiva,Atendimento presencial,Leste,Baixa,tarde,15,25,6,6.9,1,30,597.65,70.2,2026-04,domingo
SU-0171,2026-02-03 07:45,2026-02-05 20:51,Iluminação pública,Portal web,Leste,Média,manhã,7,34,2,13.4,3,21,673.23,61.1,2026-02,terça
SU-0172,2026-02-03 16:30,2026-02-05 16:06,Poda preventiva,Aplicativo,Norte,Média,tarde,16,24,7,1.2,1,28,374.63,47.6,2026-02,terça
SU-0173,2026-04-26 16:00,2026-04-27 22:12,Iluminação pública,Aplicativo,Norte,Alta,tarde,16,26,4,14.0,1,24,529.62,30.2,2026-04,domingo
SU-0174,2026-04-10 11:15,2026-04-12 20:15,Iluminação pública,Portal web,Oeste,Baixa,manhã,11,90,7,3.9,1,13,425.9,57.0,2026-04,sexta
SU-0175,2026-05-03 17:00,2026-05-06 07:12,Coleta programada,Aplicativo,Norte,Baixa,noite,17,33,6,10.0,1,28,590.89,62.2,2026-05,domingo
SU-0176,2026-03-05 16:15,2026-03-08 23:45,Reparo de calçada,Portal web,Oeste,Baixa,tarde,16,89,10,2.3,0,36,509.61,79.5,2026-03,quinta
SU-0177,2026-05-14 07:45,2026-05-17 14:09,Poda preventiva,Portal web,Oeste,Alta,manhã,7,66,4,14.0,1,28,751.25,78.4,2026-05,quinta
SU-0178,2026-05-13 08:00,2026-05-16 01:18,Poda preventiva,Aplicativo,Oeste,Média,manhã,8,29,3,3.8,0,25,501.45,65.3,2026-05,quarta
SU-0179,2026-02-24 16:00,2026-02-27 23:42,Reparo de calçada,Telefone 156,Oeste,Média,tarde,16,50,8,7.3,1,28,629.27,79.7,2026-02,terça
SU-0180,2026-04-15 11:30,2026-04-18 20:18,Poda preventiva,Atendimento presencial,Norte,Baixa,manhã,11,74,6,3.5,1,30,583.48,80.8,2026-04,quarta
